real_duid,station_id,participant_id,region,capacity_proxy_mw,synthetic_gen_bus,synthetic_gen_max_p_mw,capacity_diff_mw,rationale
ADPPV1,ADP,SAWCML,SA1,10.836,1711,10.89,0.054,"nameplate-capacity proximity: real day-max SCADA 10.8 MW vs synthetic gen max_p_mw 10.9 MW at bus 1711 (diff 0.1 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
MANNSF2,MANNSF2,MANNUMS2,SA1,10.67,1711,10.89,0.22,"nameplate-capacity proximity: real day-max SCADA 10.7 MW vs synthetic gen max_p_mw 10.9 MW at bus 1711 (diff 0.2 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
MAPS3PV1,MAPS3,SAWCML,SA1,5.84,1982,4.313,1.527,"nameplate-capacity proximity: real day-max SCADA 5.8 MW vs synthetic gen max_p_mw 4.3 MW at bus 1982 (diff 1.5 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
MAPS2PV1,MAPS2,SAWCML,SA1,4.59,1982,4.313,0.277,"nameplate-capacity proximity: real day-max SCADA 4.6 MW vs synthetic gen max_p_mw 4.3 MW at bus 1982 (diff 0.3 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
MBPS2PV1,MBPS2,SAWCML,SA1,4.09,1982,4.313,0.223,"nameplate-capacity proximity: real day-max SCADA 4.1 MW vs synthetic gen max_p_mw 4.3 MW at bus 1982 (diff 0.2 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
BOWWPV1,BOLIVAR,SAWCML,SA1,3.238,1982,4.313,1.075,"nameplate-capacity proximity: real day-max SCADA 3.2 MW vs synthetic gen max_p_mw 4.3 MW at bus 1982 (diff 1.1 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
HVWWPV1,HVWW,SAWCML,SA1,2.694,1982,4.313,1.619,"nameplate-capacity proximity: real day-max SCADA 2.7 MW vs synthetic gen max_p_mw 4.3 MW at bus 1982 (diff 1.6 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
MWPS1PV1,MWPS1,SAWCML,SA1,2.24,1982,4.313,2.073,"nameplate-capacity proximity: real day-max SCADA 2.2 MW vs synthetic gen max_p_mw 4.3 MW at bus 1982 (diff 2.1 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
MWPS4PV1,MWPS4,SAWCML,SA1,1.02,1982,4.313,3.293,"nameplate-capacity proximity: real day-max SCADA 1.0 MW vs synthetic gen max_p_mw 4.3 MW at bus 1982 (diff 3.3 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
MWPS3PV1,MWPS3,SAWCML,SA1,0.84,1982,4.313,3.473,"nameplate-capacity proximity: real day-max SCADA 0.8 MW vs synthetic gen max_p_mw 4.3 MW at bus 1982 (diff 3.5 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
MWPS2PV1,MWPS2,SAWCML,SA1,0.7,1982,4.313,3.613,"nameplate-capacity proximity: real day-max SCADA 0.7 MW vs synthetic gen max_p_mw 4.3 MW at bus 1982 (diff 3.6 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
MINTARO,MINTARO,PEAKCO,SA1,0.085,1982,4.313,4.227,"nameplate-capacity proximity: real day-max SCADA 0.1 MW vs synthetic gen max_p_mw 4.3 MW at bus 1982 (diff 4.2 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
LADBROK1,LADBROKE,BORAL,SA1,0.01,1982,4.313,4.303,"nameplate-capacity proximity: real day-max SCADA 0.0 MW vs synthetic gen max_p_mw 4.3 MW at bus 1982 (diff 4.3 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
BOLIVPS1,BOLIVPS,BBPEM,SA1,0.0,1982,4.313,4.313,"nameplate-capacity proximity: real day-max SCADA 0.0 MW vs synthetic gen max_p_mw 4.3 MW at bus 1982 (diff 4.3 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
AGLHAL,AGLHAL,HALLETT,SA1,0.0,1982,4.313,4.313,"nameplate-capacity proximity: real day-max SCADA 0.0 MW vs synthetic gen max_p_mw 4.3 MW at bus 1982 (diff 4.3 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
ANGAST1,ANGASTON,SNOWY,SA1,0.0,1982,4.313,4.313,"nameplate-capacity proximity: real day-max SCADA 0.0 MW vs synthetic gen max_p_mw 4.3 MW at bus 1982 (diff 4.3 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
DG_SA1,DG_SA1,NEMRESTR,SA1,0.0,1982,4.313,4.313,"nameplate-capacity proximity: real day-max SCADA 0.0 MW vs synthetic gen max_p_mw 4.3 MW at bus 1982 (diff 4.3 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
DRYCGT1,DRYCGT,PEAKCO,SA1,0.0,1982,4.313,4.313,"nameplate-capacity proximity: real day-max SCADA 0.0 MW vs synthetic gen max_p_mw 4.3 MW at bus 1982 (diff 4.3 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
DRYCGT2,DRYCGT,PEAKCO,SA1,0.0,1982,4.313,4.313,"nameplate-capacity proximity: real day-max SCADA 0.0 MW vs synthetic gen max_p_mw 4.3 MW at bus 1982 (diff 4.3 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
DRYCGT3,DRYCGT,PEAKCO,SA1,0.0,1982,4.313,4.313,"nameplate-capacity proximity: real day-max SCADA 0.0 MW vs synthetic gen max_p_mw 4.3 MW at bus 1982 (diff 4.3 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
LONSDALE,LONSDALE,SNOWY,SA1,0.0,1982,4.313,4.313,"nameplate-capacity proximity: real day-max SCADA 0.0 MW vs synthetic gen max_p_mw 4.3 MW at bus 1982 (diff 4.3 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
POR01,PORTLCN,PEAKCO,SA1,0.0,1982,4.313,4.313,"nameplate-capacity proximity: real day-max SCADA 0.0 MW vs synthetic gen max_p_mw 4.3 MW at bus 1982 (diff 4.3 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
POR03,PORTLCN,PEAKCO,SA1,0.0,1982,4.313,4.313,"nameplate-capacity proximity: real day-max SCADA 0.0 MW vs synthetic gen max_p_mw 4.3 MW at bus 1982 (diff 4.3 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
PTSTAN1,STANVAC,SNOWY,SA1,0.0,1982,4.313,4.313,"nameplate-capacity proximity: real day-max SCADA 0.0 MW vs synthetic gen max_p_mw 4.3 MW at bus 1982 (diff 4.3 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
QPS1,QUARANTN,BORAL,SA1,0.0,1982,4.313,4.313,"nameplate-capacity proximity: real day-max SCADA 0.0 MW vs synthetic gen max_p_mw 4.3 MW at bus 1982 (diff 4.3 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
QPS3,QUARANTN,BORAL,SA1,0.0,1982,4.313,4.313,"nameplate-capacity proximity: real day-max SCADA 0.0 MW vs synthetic gen max_p_mw 4.3 MW at bus 1982 (diff 4.3 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
QPS4,QUARANTN,BORAL,SA1,0.0,1982,4.313,4.313,"nameplate-capacity proximity: real day-max SCADA 0.0 MW vs synthetic gen max_p_mw 4.3 MW at bus 1982 (diff 4.3 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
SNAPPER1,SNAPPER,PORTADL,SA1,0.0,1982,4.313,4.313,"nameplate-capacity proximity: real day-max SCADA 0.0 MW vs synthetic gen max_p_mw 4.3 MW at bus 1982 (diff 4.3 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
SNUG1,SNUG,PEAKCO,SA1,0.0,1982,4.313,4.313,"nameplate-capacity proximity: real day-max SCADA 0.0 MW vs synthetic gen max_p_mw 4.3 MW at bus 1982 (diff 4.3 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
TORRB1,TORRIS,TIPSCO,SA1,0.0,1982,4.313,4.313,"nameplate-capacity proximity: real day-max SCADA 0.0 MW vs synthetic gen max_p_mw 4.3 MW at bus 1982 (diff 4.3 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
TORRB3,TORRIS,TIPSCO,SA1,0.0,1982,4.313,4.313,"nameplate-capacity proximity: real day-max SCADA 0.0 MW vs synthetic gen max_p_mw 4.3 MW at bus 1982 (diff 4.3 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
TORRB4,TORRIS,TIPSCO,SA1,0.0,1982,4.313,4.313,"nameplate-capacity proximity: real day-max SCADA 0.0 MW vs synthetic gen max_p_mw 4.3 MW at bus 1982 (diff 4.3 MW); fuel-type matching unavailable on both sides, see map_duids.py docstring"
